Date,Close,High,Low,Open,Volume
2019-12-27,67.09130096435547,67.71859989474075,66.96326346568391,67.64216965615002,20768000
2008-10-15,8.384699821472168,8.874922439387001,8.376295182997149,8.767384905517035,269863738
2018-05-29,52.62133407592773,53.26897684914661,52.36823508780978,52.84813342649869,37302000
2022-06-01,113.2873306274414,116.52504834118837,112.70519465135732,114.0759183702604,28630000
2021-10-18,141.89625549316406,141.93422450504897,140.16226660616186,140.16226660616186,16564000
2010-08-09,12.492873191833496,12.496581872123333,12.394236305431754,12.416238491408512,75168699
2022-07-28,113.73695373535156,113.8461354678784,111.01834525515086,111.9602857008125,23303800
2009-12-21,14.8001070022583,14.82878254134967,14.7256958052057,14.773654020960112,103233500
2009-06-24,10.118152618408203,10.190833475983789,10.050663723946876,10.104556017100418,98680498
2015-12-22,37.22083282470703,37.46152784654405,36.99899735775078,37.302719111277256,27308000
2018-08-20,59.93894577026367,60.09924253493787,59.28663835069556,59.80246861411568,17416000
2014-09-12,28.488529205322266,28.78647121000378,28.43111944104643,28.75479692258089,32033708
2004-10-06,3.3887863159179688,3.422654289174046,3.362087700239318,3.400405285012703,268900140
2021-03-02,103.0193328857422,104.43521190472184,102.79204134384504,103.0367044265422,22692000
2021-10-19,142.7513427734375,143.03420961917612,142.03073429668837,142.22478970678895,15316000
2016-01-29,36.8709602355957,36.97220209359434,36.06947260542966,36.30421180548731,69486000
2007-09-19,13.518804550170898,13.583078873505457,13.321281836192728,13.33141775935061,221904647
2010-08-23,11.47238063812256,11.57571537002123,11.315648674815716,11.408847483686632,119895720
2014-08-21,28.87209129333496,28.928016829215643,28.761724450954137,28.89436419979162,18296094
2014-06-04,26.956262588500977,27.151754914926403,26.66376526700434,26.799867591470765,36329469
2011-03-09,14.629283905029297,14.697019858587788,14.480462452040584,14.610247337134068,86362499
2025-09-19,255.07357788085935,256.5326326066914,251.9036338420993,253.23476605196709,41616800
2019-04-17,61.356815338134766,61.56624313108792,60.933984137848206,61.19105872257389,24438000
2011-09-08,13.224867820739746,13.32721432492235,13.149221351179552,13.196191337991284,95576908
2019-10-11,60.320091247558594,60.96227415870791,60.235228915298784,60.65557632094816,25454000
2010-09-29,13.045145988464355,13.174932754050454,12.971475964016935,13.04910077802777,87213678
2004-12-17,4.451798439025879,4.462181417743179,4.364532763857075,4.369723779928337,296555412
2024-06-28,182.26173400878903,185.40178281851416,182.1673327036361,184.54721295668853,23032400
2024-08-16,163.69969177246094,165.89572739193935,162.05017083785265,162.3780887462337,16853100
2024-07-24,173.2688751220703,176.82626978612888,172.47393913032514,174.2824382227072,31250700
2012-01-12,15.565475463867188,15.645820739837973,15.487850644106818,15.604535876366416,75289148
2012-04-12,16.093767166137695,16.14642322972216,15.828014394809134,15.879682234290948,231127086
2013-07-19,22.16505622863769,22.322036207805727,21.64615712793699,21.918091054464664,295475379
2012-03-15,15.355098724365234,15.413686974875882,15.199354030968848,15.243111346686687,97769094
2023-04-26,103.67243957519533,106.2233074148752,102.5012235492373,104.77417700523206,37068200
2025-03-19,165.82386779785156,167.67178157574858,162.60273243314677,163.4653498695458,24955700
2019-12-06,66.53199768066406,66.69973831750863,66.1756690423759,66.1756690423759,26296000
2025-12-12,310.5199890136719,316.1400146484375,306.9599914550781,314.7950134277344,21264800
2011-06-30,12.518336296081545,12.525505654186464,12.39769722138444,12.409810540062637,97500090
2004-08-31,2.530712604522705,2.563838941298485,2.525521350880501,2.528982502166952,98825037
2010-10-06,13.209789276123049,13.348228690423966,13.100769408747473,13.331171411286428,110906151
2025-10-01,245.37989807128903,246.98884894065887,239.0440354920674,241.02274023707795,23967700
